header	source	subtype	strain	num_repeats	segment
seal|H10N7|A/harbor_seal/NL/PV14-221_Ts/2015|2015-01-12	seal	H10N7	A/harbor_seal/NL/PV14-221_Ts/2015	seal query	seg-1
seal|H7N7|A/seal/Massachusetts/1/1980|1980--	seal	H7N7	A/seal/Massachusetts/1/1980	seal query	seg-1
seal|H3N3|A/seal/Massachusetts/3911/1992|1992--	seal	H3N3	A/seal/Massachusetts/3911/1992	seal query	seg-1
seal|H4N6|A/Caspian_seal/Russia/T1/2012|2012-10-03	seal	H4N6	A/Caspian_seal/Russia/T1/2012	seal query	seg-1
seal|H1N1|A/Elephant_seal/California/1/2010|2010-05-	seal	H1N1	A/Elephant_seal/California/1/2010	seal query	seg-1
seal|H3N8|A/grey_seal/England/027661/2017|2017-02-19	seal	H3N8	A/grey_seal/England/027661/2017	seal query	seg-1
seal|H3N8|A/harbor_seal/New_Hampshire/179629/2011|2011-09-29	seal	H3N8	A/harbor_seal/New_Hampshire/179629/2011	seal query	seg-1
seal|H3N8|A/harbor_seal/Massachusetts/1/2011|2011-09-	seal	H3N8	A/harbor_seal/Massachusetts/1/2011	seal query	seg-1
seal|H10N7|A/Seal/Sweden/SVA0546/2014|2014-04-16	seal	H10N7	A/Seal/Sweden/SVA0546/2014	seal query	seg-1
seal|H1N1|A/elephant_seal/California/2/2010|2010-04-	seal	H1N1	A/elephant_seal/California/2/2010	seal query	seg-1
seal|H10N7|A/harbour_seal/Germany/1/2014|2014-10-07	seal	H10N7	A/harbour_seal/Germany/1/2014	seal query	seg-1
seal|H4N5|A/seal/Massachussetts/133/1982|1982--	seal	H4N5	A/seal/Massachussetts/133/1982	seal query	seg-1
seal|H3N8|A/harbor_seal/New_Hampshire/179629/2011|2011-09-29	seal	H3N8	A/harbor_seal/New_Hampshire/179629/2011	seal query	seg-2
seal|H10N7|A/harbour_seal/Germany/1/2014|2014-10-07	seal	H10N7	A/harbour_seal/Germany/1/2014	seal query	seg-2
seal|H7N7|A/seal/Massachusetts/1/1980|1980--	seal	H7N7	A/seal/Massachusetts/1/1980	seal query	seg-2
seal|H10N7|A/harbor_seal/NL/PV14-221_Ts/2015|2015-01-12	seal	H10N7	A/harbor_seal/NL/PV14-221_Ts/2015	seal query	seg-2
seal|H1N1|A/elephant_seal/California/2/2010|2010-04-	seal	H1N1	A/elephant_seal/California/2/2010	seal query	seg-2
seal|H1N1|A/Elephant_seal/California/1/2010|2010-05-	seal	H1N1	A/Elephant_seal/California/1/2010	seal query	seg-2
seal|H3N3|A/seal/Massachusetts/3911/1992|1992--	seal	H3N3	A/seal/Massachusetts/3911/1992	seal query	seg-2
seal|H4N6|A/Caspian_seal/Russia/T1/2012|2012-10-03	seal	H4N6	A/Caspian_seal/Russia/T1/2012	seal query	seg-2
seal|H4N5|A/seal/Massachussetts/133/1982|1982--	seal	H4N5	A/seal/Massachussetts/133/1982	seal query	seg-2
seal|H3N8|A/grey_seal/England/027661/2017|2017-02-19	seal	H3N8	A/grey_seal/England/027661/2017	seal query	seg-2
seal|H3N8|A/harbor_seal/Massachusetts/1/2011|2011-09-	seal	H3N8	A/harbor_seal/Massachusetts/1/2011	seal query	seg-2
seal|H10N7|A/Seal/Sweden/SVA0546/2014|2014-04-16	seal	H10N7	A/Seal/Sweden/SVA0546/2014	seal query	seg-2
seal|H3N8|A/grey_seal/England/027661/2017|2017-02-19	seal	H3N8	A/grey_seal/England/027661/2017	seal query	seg-3
seal|H4N5|A/seal/Massachussetts/133/1982|1982--	seal	H4N5	A/seal/Massachussetts/133/1982	seal query	seg-3
seal|H1N1|A/elephant_seal/California/2/2010|2010-04-	seal	H1N1	A/elephant_seal/California/2/2010	seal query	seg-3
seal|H3N8|A/harbor_seal/New_Hampshire/179629/2011|2011-09-29	seal	H3N8	A/harbor_seal/New_Hampshire/179629/2011	seal query	seg-3
seal|H10N7|A/harbour_seal/Germany/1/2014|2014-10-07	seal	H10N7	A/harbour_seal/Germany/1/2014	seal query	seg-3
