header	segment	source	accession	strain	subtype	date	host_species	host	colourName
seal|EPI_ISL_123259|A/harbor_seal/Massachusetts/1/2011|A_/_H3N8|2011-09-29	seg1	seal	EPI_ISL_123259	A/harbor_seal/Massachusetts/1/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_166491|A/harbor_seal/New_Hampshire/179629/2011|A_/_H3N8|2011-09-29	seg1	blasthit	EPI_ISL_166491	A/harbor_seal/New_Hampshire/179629/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_131756|A/American_black_duck/New_Brunswick/03552/2009|A_/_H4N6|2009-09-11	seg1	blasthit	EPI_ISL_131756	A/American_black_duck/New_Brunswick/03552/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131753|A/American_black_duck/New_Brunswick/03553/2009|A_/_H4N6|2009-09-11	seg1	blasthit	EPI_ISL_131753	A/American_black_duck/New_Brunswick/03553/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131754|A/American_black_duck/New_Brunswick/03511/2009|A_/_H4N6|2009-09-10	seg1	blasthit	EPI_ISL_131754	A/American_black_duck/New_Brunswick/03511/2009	H4N6	2009-09-10	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_99279|A/mallard/Alberta/115/2007|A|2007-08-22	seg1	blasthit	EPI_ISL_99279	A/mallard/Alberta/115/2007	A	2007-08-22	mallard	anseriformes	red2
blasthit|EPI_ISL_137891|A/mallard/Alberta/80/2006|A_/_H1N3|2006-07-26	seg1	blasthit	EPI_ISL_137891	A/mallard/Alberta/80/2006	H1N3	2006-07-26	mallard	anseriformes	red2
blasthit|EPI_ISL_84621|A/mallard/Alberta/76/2006|A_/_H1N3|2006-07-26	seg1	blasthit	EPI_ISL_84621	A/mallard/Alberta/76/2006	H1N3	2006-07-26	mallard	anseriformes	red2
blasthit|EPI_ISL_82494|A/northern_shoveler/Washington/44249-645/2006|A_/_H5N2|2006-11-04	seg1	blasthit	EPI_ISL_82494	A/northern_shoveler/Washington/44249-645/2006	H5N2	2006-11-04	northern_shoveler	anseriformes	red2
blasthit|EPI_ISL_99271|A/mallard/Alberta/156/2007|A|2007-08-22	seg1	blasthit	EPI_ISL_99271	A/mallard/Alberta/156/2007	A	2007-08-22	mallard	anseriformes	red2
blasthit|EPI_ISL_69729|A/mallard/Alberta/11513/2005|A|2005-08-03	seg1	blasthit	EPI_ISL_69729	A/mallard/Alberta/11513/2005	A	2005-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_99291|A/mallard/Alberta/258/2006|A_/_H4N6|2006-08-09	seg1	blasthit	EPI_ISL_99291	A/mallard/Alberta/258/2006	H4N6	2006-08-09	mallard	anseriformes	red2
blasthit|EPI_ISL_99288|A/mallard/Alberta/297/2006|A_/_H4N6|2006-08-09	seg1	blasthit	EPI_ISL_99288	A/mallard/Alberta/297/2006	H4N6	2006-08-09	mallard	anseriformes	red2
blasthit|EPI_ISL_94230|A/mallard/California/8834/2008|A_/_H5N9|2008-10-19	seg1	blasthit	EPI_ISL_94230	A/mallard/California/8834/2008	H5N9	2008-10-19	mallard	anseriformes	red2
