header	segment	source	accession	strain	subtype	date	year	location	host	colourName
seal|A/grey_seal/England/027661/2017|H3N8|PB2|2017-02	seg1	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_267292|A/white-fronted_goose/Netherlands/5/2011|A_/_H6N8|2011-12-14	seg1	blasthit	EPI_ISL_267292	A/white-fronted_goose/Netherlands/5/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243479|A/greater_white-fronted_goose/Netherlands/6/2011|A_/_H6N8|2011-12-14	seg1	blasthit	EPI_ISL_243479	A/greater_white-fronted_goose/Netherlands/6/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243608|A/mallard_duck/Netherlands/15/2011|A_/_H6N8|2011-09-14	seg1	blasthit	EPI_ISL_243608	A/mallard_duck/Netherlands/15/2011	H6N8	14/09/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243588|A/mallard_duck/Netherlands/20/2011|A_/_H6N8|2011-09-24	seg1	blasthit	EPI_ISL_243588	A/mallard_duck/Netherlands/20/2011	H6N8	24/09/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243513|A/Eurasian_teal/Netherlands/1/2011|A_/_H3N8|2011-10-15	seg1	blasthit	EPI_ISL_243513	A/Eurasian_teal/Netherlands/1/2011	H3N8	15/10/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267376|A/mallard_duck/Netherlands/18/2012|A_/_H4N2|2012-08-21	seg1	blasthit	EPI_ISL_267376	A/mallard_duck/Netherlands/18/2012	H4N2	21/08/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267224|A/mallard_duck/Netherlands/16/2012|A_/_H3N2|2012-08-17	seg1	blasthit	EPI_ISL_267224	A/mallard_duck/Netherlands/16/2012	H3N2	17/08/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_224581|A/chicken/Netherlands/16007311-037041/2016|A_/_H7N9|2016-06-08	seg1	blasthit	EPI_ISL_224581	A/chicken/Netherlands/16007311-037041/2016	H7N9	08/06/2016	2016	Netherlands	galliformes	red3
blasthit|EPI_ISL_171318|A/Italy/3/2013|A_/_H7N7|2013-09-07	seg1	blasthit	EPI_ISL_171318	A/Italy/3/2013	H7N7	07/09/2013	2013	Italy	human	blue1
blasthit|EPI_ISL_243461|A/mallard_duck/Netherlands/23/2012|A_/_H11N9|2012-09-27	seg1	blasthit	EPI_ISL_243461	A/mallard_duck/Netherlands/23/2012	H11N9	27/09/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_202992|A/chicken/Italy/13VIR4527-12/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202992	A/chicken/Italy/13VIR4527-12/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_202997|A/chicken/Italy/13VIR4541-7/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202997	A/chicken/Italy/13VIR4541-7/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_202994|A/chicken/Italy/13VIR4541-32/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202994	A/chicken/Italy/13VIR4541-32/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_202993|A/chicken/Italy/13VIR4527-11/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202993	A/chicken/Italy/13VIR4527-11/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_203003|A/chicken/Italy/13VIR5051-3/2013|A_/_H7N7|2013-09-03	seg1	blasthit	EPI_ISL_203003	A/chicken/Italy/13VIR5051-3/2013	H7N7	03/09/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_203001|A/chicken/Italy/13VIR4774/2013|A_/_H7N7|2013-08-27	seg1	blasthit	EPI_ISL_203001	A/chicken/Italy/13VIR4774/2013	H7N7	27/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_203000|A/chicken/Italy/13VIR4603-1/2013|A_/_H7N7|2013-08-19	seg1	blasthit	EPI_ISL_203000	A/chicken/Italy/13VIR4603-1/2013	H7N7	19/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_202998|A/chicken/Italy/13VIR4541-8/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202998	A/chicken/Italy/13VIR4541-8/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_329647|A/chicken/France/160013g/2016|A_/_H5N2|2016-01-01	seg1	blasthit	EPI_ISL_329647	A/chicken/France/160013g/2016	H5N2	01/01/2016	2016	France	galliformes	red3
